Code,Name,MainGroup,SubTags,Industry,GroupSize
1904,正隆,"蘋果供應鏈, 電機電纜","Apple蘋果, 物流, 碳權, 紙業, 雙十一","家庭用紙, 工業用紙, 文化用紙, 造紙業","29, 32"
1905,華紙,電機電纜,"碳權, 紙業, 雙十一","文化用紙, 特殊用紙, 紙漿, 造紙業",32
1906,寶隆,造紙,紙業,"工業用紙, 造紙業",7
1907,永豐餘,"化學, 造紙","物流, 紙業, 雙十一","化學工業, 家庭用紙, 工業用紙, 控股公司, 文化用紙, 紙漿, 衛生清潔用品, 造紙業","69, 7"
1909,榮成,造紙,"A股入摩, 物流, 紙業, 雙十一","工業用紙, 造紙業",7
2002,中鋼,"鋼鐵, 電動車","DANCE, 一帶一路, 軍工/國防, 鋼鐵, 鴻海MIH電動車平台","冷軋鋼捲, 塗鍍鋼捲, 板鋼, 條鋼, 棒鋼, 熱軋鋼捲, 線材盤元, 鋼板, 鋼胚, 鍍鋅鋼捲","41, 54"
2006,東和鋼鐵,鋼鐵,"東協, 鋼鐵","型鋼, 條鋼, 鋼構, 鋼筋",41
2007,燁興,鋼鐵,鋼鐵,"不鏽鋼, 不鏽鋼線材, 線材盤元",41
2008,高興昌,鋼鐵,鋼鐵,"條鋼, 鋼管",41
2009,第一銅,鋼鐵,鋼鐵,"銅, 非鐵金屬",41
2010,春源,鋼鐵,鋼鐵,"板鋼, 條鋼, 鋼剪裁加工, 鋼構",41
2012,春雨,鋼鐵,鋼鐵,"線材盤元, 螺絲螺帽",41
2013,中鋼構,鋼鐵,風力發電,"條鋼, 鋼構",41
2014,中鴻,傳產其他,,"冷軋鋼捲, 板鋼, 熱軋鋼捲",246
2015,豐興,鋼鐵,,"型鋼, 條鋼, 棒鋼, 鋼筋",41
2017,官田鋼,觀光,,"旅宿／餐飲, 線材盤元, 螺絲螺帽, 飯店",54
2020,美亞,鋼鐵,,"不鏽鋼, 不鏽鋼剪裁加工, 板鋼, 條鋼, 鋼剪裁加工, 鋼管",41
2022,聚亨,鋼鐵,,"線材盤元, 螺絲螺帽",41
2023,燁輝,傳產其他,,"板鋼, 烤漆鋼捲, 鍍鋅鋼捲",246
2024,志聯,傳產其他,,"條鋼, 棒鋼, 線材盤元",246
2025,千興,鋼鐵,,"不鏽鋼, 冷軋不鏽鋼",41
2027,大成鋼,鋼鐵,,"不鏽鋼, 不鏽鋼品, 不鏽鋼管, 線材盤元, 螺絲螺帽, 鋁, 非鐵金屬",41
2028,威致,鋼鐵,,"條鋼, 鋼筋",41
2029,盛餘,傳產其他,,"板鋼, 烤漆鋼捲, 鍍鋅鋼捲",246
2030,彰源,鋼鐵,,"不鏽鋼, 不鏽鋼剪裁加工, 不鏽鋼管",41
2031,新光鋼,傳產其他,,"板鋼, 鋼剪裁加工",246
2032,新鋼,鋼鐵,,"不鏽鋼, 不鏽鋼剪裁加工",41
2033,佳大,傳產其他,,線材盤元,246
2034,允強,鋼鐵,,"不鏽鋼, 不鏽鋼剪裁加工, 不鏽鋼管",41
2035,唐榮,鋼鐵,,"不鏽鋼, 冷軋不鏽鋼, 熱軋不鏽鋼, 資產股",41
2038,海光,鋼鐵,,"條鋼, 鋼筋",41
2049,上銀,"建材, 機械, 網通","3D列印, 一帶一路, 智慧型機器人/機械手臂, 無人機, 玻璃基板 E-Core Sys., 航空/航太, 軍工/國防","機械零組件, 滑軌","18, 93, 92"
2059,川湖,電子通路,"AWS, CES, GB300, 金屬製品","其他電子零件, 電子零件元件",256
2061,風青,電機電纜,,"漆包線, 電線電纜",32
2062,橋椿,傳產其他,"Home Depot, 水資源","家居用品, 水龍頭",246
2063,世鎧,鋼鐵,,"不鏽鋼, 不鏽鋼緊固件, 不鏽鋼線材, 線材盤元, 螺絲螺帽",41
2064,晉椿,傳產其他,,"條鋼, 棒鋼, 線材盤元",246
2065,世豐,鋼鐵,,"線材盤元, 螺絲螺帽",41
2066,世德,電動車,Tesla特斯拉,"線材盤元, 螺絲螺帽",54
2067,嘉鋼,機械,3D列印,機械零組件,93
2069,運錩,鋼鐵,,"不鏽鋼, 不鏽鋼剪裁加工",41
2070,精湛,半導體設備,,設備儀器商,109
2073,雄順,傳產其他,,線材盤元,246
2101,南港,橡膠,橡膠,"地產, 橡膠工業, 營建, 資產股, 輪胎",12
2102,泰豐,橡膠,橡膠,"橡膠工業, 資產股, 輪胎",12
2103,台橡,橡膠,橡膠,"合成橡膠, 橡膠工業, 熱可塑橡膠",12
2104,國際中橡,"生技醫療, 電動車","寧德時代, 新藥, 電動車","橡膠工業, 碳煙","134, 54"
2105,正新,"橡膠, 電動車","MIH, 共享單車, 橡膠, 電動車, 鴻海MIH電動車平台","橡膠工業, 橡膠製品, 輪胎","12, 54"
2106,建大,"橡膠, 電動車","MIH, 共享單車, 橡膠","橡膠工業, 橡膠製品, 輪胎","12, 54"
2107,厚生,橡膠,橡膠,"地產, 塑化製品, 塑膠皮布, 橡膠工業, 橡膠製品, 營建, 貨櫃場服務, 資產股, 運輸事業",12
2108,南帝,橡膠,橡膠,"乳膠相關, 橡膠工業",12
2109,華豐,橡膠,橡膠,"橡膠工業, 橡膠製品, 輪胎",12
2114,鑫永銓,橡膠,,"橡膠工業, 橡膠製品",12
2115,六暉-KY,電動車,"共享單車, 車用電子","汽機車零組件, 輪圈",54
2201,裕隆,電動車,"MIH, Tesla特斯拉, 汽車, 福建自貿區, 鴻海MIH電動車平台","汽機車零組件, 汽車服務相關, 汽車製造, 汽車銷售, 資產股, 車輛整車",54
2204,中華,電動車,"汽車, 車聯網, 電動車","客貨車輛相關, 機車零組件, 汽機車零組件, 汽車服務相關, 汽車製造, 汽車銷售, 車輛整車, 電動機車",54
2206,三陽工業,電動車,汽車,"機車, 汽車服務相關, 汽車製造, 汽車銷售, 資產股, 車輛整車, 電動機車",54
2207,和泰車,電動車,"汽車, 自動駕駛","汽機車零組件, 汽車服務相關, 汽車銷售",54
2208,台船,傳產其他,"氣候變遷, 軍工/國防",造船業,246
2211,長榮鋼,鋼鐵,,"傳產其他, 回收焚化／掩埋清運, 條鋼, 鋼構",41
2221,大甲,鋼鐵,,"不鏽鋼, 不鏽鋼品",41
2227,裕日車,電動車,"汽車, 福建自貿區","汽機車零組件, 汽車服務相關, 汽車銷售",54
2228,劍麟,電動車,"ADAS, 車聯網","傳產其他, 安全氣囊, 汽機車零組件, 汽車內裝",54
2230,泰茂,食品,,"汽機車零組件, 活塞, 流通業, 食品飲料相關通路",61
2231,為升,"網通, 電動車","無人機, 車用電子, 車聯網","倒車雷達, 胎壓監測系統, 車用電子","92, 54"
2233,宇隆,機械,航空/航太,"傳產其他, 機械零組件, 汽機車零組件, 減速機, 產業機械, 自行車零件, 金屬加工／製品",93
2235,謚源,電動車,,"汽機車零組件, 汽車內裝, 汽車空調, 車用冷卻系統",54
2236,百達-KY,連接器,Type-c,汽機車零組件,41
2239,英利-KY,電動車,,"汽機車零組件, 車用沖壓件, 車用金屬成型",54
2241,艾姆勒,傳產其他,,汽機車零組件,246
2243,宏旭-KY,傳產其他,,汽機車零組件,246
2247,汎德永業,電動車,汽車,"汽車服務相關, 汽車銷售",54
2248,華勝-KY,電動車,,汽車內裝,54
